,cloudcover,day,daylight_minutes,dew,feelslike,feelslikemax,feelslikemin,humidity,is_weekend,month,precip,precipcover,precipprob,sealevelpressure,severerisk,snow,snowdepth,solarenergy,solarradiation,sunrise_minutes,sunset_minutes,temp,tempmax,tempmin,uvindex,visibility,weekday,winddir,windgust,windspeed,year
cloudcover,1.0,0.04516367487479797,-0.012646204950205513,0.19464047169372894,0.004482895816578435,-0.0645282501491746,0.09532933289067548,0.557100611021414,0.008226363763611891,-0.08624503083841746,0.32501955105358954,0.5045404336387646,0.5030244884932906,-0.28396800205242945,0.08469331970000807,0.07645125054413082,0.034162155962267376,-0.4641697699025889,-0.46455513789407726,0.012593068130489259,-0.012038768148791557,-0.0017341673271601373,-0.08832599594300719,0.10054285616742402,-0.5093139107079481,-0.38603121632146586,0.02934707520957727,-0.23148526286274762,0.08122802610127876,0.046134509478494796,0.0740806567649138
day,0.04516367487479797,1.0,-0.0005476089790452804,-0.0009518483959400594,-0.0011649548779793623,-0.008831954029617435,0.008835641253554382,-0.004530133179118087,0.0038023695132367494,0.008524791320414246,-0.015319666440178247,-0.010015430438577,0.028020659999916337,0.02992500120425006,-0.021370881852408406,-0.005489142139890414,-0.019552128189320433,-0.019950569018668197,-0.019924447424609085,0.03900558044646389,0.016248544617182014,0.00021755418273406395,-0.005423259557735278,0.007454379699413213,-0.030974667492379614,-0.011246210452604847,1.1035460023279401e-07,-0.031346713261717084,-0.005729443518830429,-0.017078161255681977,-0.002275915040918795
daylight_minutes,-0.012646204950205513,-0.0005476089790452804,1.0,0.6874486738565723,0.786159172079071,0.7672516015396207,0.7693702286906963,0.020085297587255874,-0.000601960979390077,-0.15862116221440345,0.03317819944770019,-0.026161558652499195,0.08706885998250936,-0.2575719825975707,0.39599255246457704,-0.11220501902460006,-0.16461951436053704,0.3872181117012573,0.3893208139267703,-0.9195546888448306,0.9852113636852796,0.7971419319088575,0.7797719518943332,0.77702013775315,0.40311983371881244,0.10863865421314002,-0.00014287931036271586,-0.09486290139604459,-0.003157040948052951,-0.026501098357663528,0.0361724086863746
dew,0.19464047169372894,-0.0009518483959400594,0.6874486738565723,1.0,0.942772569830727,0.9096890521688887,0.9577355454616695,0.5528000197442928,-0.026480766505474054,0.24895718797192964,0.18008031088030851,0.15358123879609809,0.2824006090890746,-0.34875005765913336,0.5190860506415402,-0.1244523549040389,-0.1933543876774166,0.06762307149975391,0.06849917154902481,-0.6006073232235078,0.6910343531610299,0.9390281558883522,0.9002841560560345,0.9550124858607905,0.12348038747838823,-0.055512133539289854,-0.0008751671580605595,-0.22101519045392123,-0.11458933778200199,-0.2012345771537517,-0.07452649843907451
feelslike,0.004482895816578435,-0.0011649548779793623,0.786159172079071,0.942772569830727,1.0,0.9814644848314787,0.9820696057553038,0.2555547420503652,-0.03022499635829818,0.21724326334068922,0.05056807408446955,-0.040776947640039,0.11604099451204065,-0.3147405030656747,0.5048069402325295,-0.17786629542766308,-0.2469769584433785,0.2673032026724538,0.26846386322497034,-0.6936098276730646,0.7873114876211711,0.9968995917997648,0.9806224050490565,0.9780423958590594,0.33273292650739145,0.11609403423017488,-0.010968460510123132,-0.11939174197505074,-0.08557878634089464,-0.15918880937612376,-0.04747433099888864
feelslikemax,-0.0645282501491746,-0.008831954029617435,0.7672516015396207,0.9096890521688887,0.9814644848314787,1.0,0.9395296449407454,0.2106362655028076,-0.036683884367830016,0.1983118447699237,0.03499676249631351,-0.08347429464687112,0.08193860801907014,-0.2873064937329695,0.5333498603351476,-0.17623450479876546,-0.24816049254726377,0.3153344940693729,0.3164802194271927,-0.6776824925955192,0.7680472742312308,0.9766865096886335,0.9918911333940342,0.9368132264448423,0.38834116009218583,0.15303304736291506,-0.017045549390595324,-0.09891146239927838,-0.06068857097042355,-0.13848041834518024,-0.04308496934058174
feelslikemin,0.09532933289067548,0.008835641253554382,0.7693702286906963,0.9577355454616695,0.9820696057553038,0.9395296449407454,1.0,0.33235593826579485,-0.024390676917567827,0.23343608986281783,0.08782351312866019,0.02454260362459919,0.1792318527291384,-0.3328533255590977,0.4908886929996889,-0.16320226882150607,-0.2302513517251598,0.18873761843079517,0.18983895641265927,-0.6743060696031481,0.7724562647611486,0.9818054484237484,0.9403411721110558,0.9946947136420645,0.2510415237523301,0.06240944956207514,-0.007016191253518849,-0.1456359549578776,-0.09361217963935432,-0.17262104067941147,-0.05605303323267858
humidity,0.557100611021414,-0.004530133179118087,0.020085297587255874,0.5528000197442928,0.2555547420503652,0.2106362655028076,0.33235593826579485,1.0,-0.006928314160865575,0.18675743354421442,0.41045451293706975,0.577942844548838,0.5365984550328091,-0.2221664447888739,0.2204991469565715,0.06691712208292777,0.025197963337451123,-0.4639648687796479,-0.46433077897967084,0.005441415793399978,0.030214163903498178,0.2364849419870145,0.17393736042692676,0.32141743401035056,-0.477114481518481,-0.5076847212824597,0.01952117451975225,-0.3796677834299483,-0.1547405464573129,-0.23379368714523374,-0.09377122402684375
is_weekend,0.008226363763611891,0.0038023695132367494,-0.000601960979390077,-0.026480766505474054,-0.03022499635829818,-0.036683884367830016,-0.024390676917567827,-0.006928314160865575,1.0,-0.0031401525638005863,-0.0055644010556321075,0.012063565554493089,-0.009319902289141613,-0.006430482728149985,0.017178735672817264,-0.0073676393032016075,-0.022322211577789183,-0.017121103793676866,-0.01726244984962628,0.0007250420056635209,-0.0005182769729817745,-0.02745336697288258,-0.03548265661267808,-0.01999774229584151,-0.024244004548568263,-0.006145740056222091,0.7905150082165373,-0.0349968340797209,-0.000289572732603317,0.0135186156488189,-0.0006655884028029146
month,-0.08624503083841746,0.008524791320414246,-0.15862116221440345,0.24895718797192964,0.21724326334068922,0.1983118447699237,0.23343608986281783,0.18675743354421442,-0.0031401525638005863,1.0,0.03254375056068765,-0.01606365730192252,-0.02103143393810806,0.07901688364821075,0.12158536773648496,-0.13373903063972653,-0.19797921127572293,-0.11892850159833561,-0.11966800110129484,0.12113687037715079,-0.16705577250178386,0.20729447780750349,0.19320316365057702,0.21734483421427808,-0.06663312503646032,0.04647611727870966,0.0017514910399383733,-0.025468507229938053,-0.14148004969371675,-0.19141711894108904,-0.29971930348933584
