feature,dtype,missing_values,n_unique
cloudcover,float64,0,705
day,int64,0,31
daylight_minutes,int32,0,325
dew,float64,0,360
feelslike,float64,0,406
feelslikemax,float64,0,389
feelslikemin,float64,0,365
humidity,float64,0,526
is_weekend,int64,0,2
month,int64,0,12
precip,float64,0,558
precipcover,float64,0,24
precipprob,int64,0,2
sealevelpressure,float64,0,305
severerisk,float64,12030,6
snow,float64,0,25
snowdepth,float64,0,30
solarenergy,float64,0,227
solarradiation,float64,0,1109
sunrise_minutes,int32,0,120
sunset_minutes,int32,0,233
temp,float64,0,340
tempmax,float64,0,280
tempmin,float64,0,316
uvindex,int64,0,11
visibility,float64,0,83
weekday,int64,0,7
winddir,float64,0,1217
windgust,float64,0,355
windspeed,float64,0,314
year,int64,0,5
