start_station_id,start_station_name,station_name_final
31101.0,14th & V St NW,14th & V St NW
31125.0,15th & W St NW,15th & W St NW
31200.0,Massachusetts Ave & Dupont Circle NW,Massachusetts Ave & Dupont Circle NW
31201.0,15th & P St NW,15th & P St NW
31202.0,14th & R St NW,14th & R St NW
31203.0,14th & Rhode Island Ave NW,14th & Rhode Island Ave NW
31214.0,17th & Corcoran St NW,17th & Corcoran St NW
31229.0,New Hampshire Ave & T St NW,New Hampshire Ave & T St NW
31247.0,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
31248.0,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
31258.0,Lincoln Memorial,Lincoln Memorial
31266.0,11th & M St NW,11th & M St NW
31281.0,8th & O St NW,8th & O St NW
31288.0,4th St & Madison Dr NW,4th St & Madison Dr NW
31289.0,Henry Bacon Dr & Lincoln Memorial Circle NW,Henry Bacon Dr & Lincoln Memorial Circle NW
31600.0,5th & K St NW,5th & K St NW
31603.0,1st & M St NE,1st & M St NE
31613.0,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE
31623.0,Columbus Circle / Union Station,Columbus Circle / Union Station
31627.0,3rd & M St NE,3rd & M St NE
