rank,start_station_id,total_rentals,start_station_name
1,31229.0,152681,New Hampshire Ave & T St NW
2,31623.0,146877,Columbus Circle / Union Station
3,31201.0,139982,15th & P St NW
4,31258.0,138193,Lincoln Memorial
5,31603.0,130061,1st & M St NE
6,31247.0,125463,Jefferson Dr & 14th St SW
7,31288.0,120199,4th St & Madison Dr NW
8,31101.0,116804,14th & V St NW
9,31600.0,113762,5th & K St NW
10,31613.0,112850,Eastern Market Metro / Pennsylvania Ave & 8th St SE
11,31200.0,108239,Massachusetts Ave & Dupont Circle NW
12,31289.0,107584,Henry Bacon Dr & Lincoln Memorial Circle NW
13,31248.0,106312,Smithsonian-National Mall / Jefferson Dr & 12th St SW
14,31281.0,101358,8th & O St NW
15,31202.0,100091,14th & R St NW
16,31627.0,99512,M St & Delaware Ave NE
17,31266.0,99065,11th & M St NW
18,31125.0,95835,15th & W St NW
19,31203.0,93183,14th St & Rhode Island Ave NW
20,31214.0,92584,17th & Corcoran St NW
