feature,coefficient,abs_coefficient
year,30.805544720618194,30.805544720618194
time_idx,-14.123893756684856,14.123893756684856
month,13.802469356510565,13.802469356510565
tempmax,12.75228135701245,12.75228135701245
weekday,7.839945642542908,7.839945642542908
sunset_minutes,6.696906489558689,6.696906489558689
precipcover,-6.306668547653212,6.306668547653212
windspeed,-2.885396247730015,2.885396247730015
humidity,-2.383644310372421,2.383644310372421
uvindex,2.1687108140655798,2.1687108140655798
precip,-1.598981159546634,1.598981159546634
visibility,-1.1790340748475066,1.1790340748475066
cloudcover,0.6977022829838894,0.6977022829838894
snow,0.6341499297342746,0.6341499297342746
snowdepth,-0.41990584481853915,0.41990584481853915
start_station_id,-0.18143342418617658,0.18143342418617658
sealevelpressure,0.14905320100499478,0.14905320100499478
