feature,coefficient,abs_coefficient
year,47.61537640206963,47.61537640206963
time_idx,-38.54693533937925,38.54693533937925
month,13.970746102561668,13.970746102561668
total_rentals_lag_7,12.486756681335235,12.486756681335235
total_rentals_lag_1,10.439879272902179,10.439879272902179
precipcover,-7.85272211108451,7.85272211108451
tempmax,7.781075950558814,7.781075950558814
weekday,4.3415450212796545,4.3415450212796545
uvindex,2.8316387991756238,2.8316387991756238
visibility,-2.202866275565875,2.202866275565875
windspeed,-2.1617088682923513,2.1617088682923513
station_31258.0,2.1338356072470512,2.1338356072470512
station_31229.0,1.8997537648446885,1.8997537648446885
station_31201.0,1.5008223938270608,1.5008223938270608
station_31247.0,1.3595681552646126,1.3595681552646126
humidity,-1.3407974800210103,1.3407974800210103
station_31288.0,1.2038817330601619,1.2038817330601619
station_31603.0,1.0608541512874183,1.0608541512874183
station_31623.0,0.9743764189360721,0.9743764189360721
station_31627.0,-0.9687626453839078,0.9687626453839078
station_31214.0,-0.8793935180066987,0.8793935180066987
station_31203.0,-0.8461857956816633,0.8461857956816633
precip,-0.8045228660453227,0.8045228660453227
station_31125.0,-0.7240977987239208,0.7240977987239208
station_31202.0,-0.6504909669038934,0.6504909669038934
cloudcover,0.6397811264845591,0.6397811264845591
station_31266.0,-0.49758800736540393,0.49758800736540393
station_31281.0,-0.42970510063246037,0.42970510063246037
station_31289.0,0.4287352374109743,0.4287352374109743
station_31248.0,0.41816196774091746,0.41816196774091746
station_31200.0,-0.39441198397928984,0.39441198397928984
snowdepth,-0.3497793718352762,0.3497793718352762
station_31613.0,-0.3375310567633658,0.3375310567633658
sealevelpressure,-0.30005271492939367,0.30005271492939367
station_31600.0,-0.19445066534384797,0.19445066534384797
snow,0.1501009772566674,0.1501009772566674
sunset_minutes,-0.00022348760794492576,0.00022348760794492576
