feature,coefficient,abs_coefficient
year,34.281966133622795,34.281966133622795
time_idx,-17.534057738409135,17.534057738409135
month,14.505056549544888,14.505056549544888
tempmax,12.3224610067702,12.3224610067702
weekday,7.942569110159441,7.942569110159441
sunset_minutes,6.687096301305478,6.687096301305478
precipcover,-6.280593666308307,6.280593666308307
station_31258.0,5.50000606959017,5.50000606959017
station_31229.0,4.887806028822224,4.887806028822224
station_31201.0,3.8794348511276784,3.8794348511276784
station_31247.0,3.5170484704812526,3.5170484704812526
station_31288.0,3.05648316532906,3.05648316532906
windspeed,-2.894139624360876,2.894139624360876
station_31603.0,2.7297787823987587,2.7297787823987587
station_31627.0,-2.4484037430853416,2.4484037430853416
station_31623.0,2.433497243201367,2.433497243201367
humidity,-2.3121661874030477,2.3121661874030477
uvindex,2.235620221813617,2.235620221813617
station_31214.0,-2.20189054512479,2.20189054512479
station_31203.0,-2.101432826072176,2.101432826072176
station_31125.0,-1.8022019259932327,1.8022019259932327
station_31202.0,-1.6522952547184824,1.6522952547184824
precip,-1.6216115855406,1.6216115855406
station_31289.0,1.2761436826930004,1.2761436826930004
station_31248.0,1.210358245104479,1.210358245104479
station_31266.0,-1.19763912991204,1.19763912991204
visibility,-1.151264847047343,1.151264847047343
station_31281.0,-1.111620758683248,1.111620758683248
station_31200.0,-0.9852538389745943,0.9852538389745943
station_31613.0,-0.8739243417769523,0.8739243417769523
cloudcover,0.596728020264213,0.596728020264213
snow,0.5642784875179359,0.5642784875179359
station_31600.0,-0.4675338423295765,0.4675338423295765
snowdepth,-0.2931020123491005,0.2931020123491005
sealevelpressure,-0.023481180243415053,0.023481180243415053
