alpha,train_rmse,validation_rmse,train_mae,validation_mae
0.001,28.227029183993388,32.89481911525697,20.0799170783916,26.10292210268704
0.01,28.22702919748097,32.89481702352576,20.079914173978246,26.10292402090394
0.1,28.227030512299407,32.89479663085387,20.0798875529108,26.10294374139173
1.0,28.2271340600658,32.89462684330109,20.079710476004067,26.10311523104721
5.0,28.228201736331393,32.893803897691946,20.079879608708815,26.102896015453645
10.0,28.229375627800817,32.89203118154549,20.08038089155503,26.101580777808337
50.0,28.23233785698421,32.86874780486181,20.08050736168235,26.079317555405176
100.0,28.23324783791283,32.83653631426427,20.078577942466282,26.047823778992004
500.0,28.239523768084307,32.59152052734682,20.06301462238323,25.804023682084157
1000.0,28.254604259330687,32.32463306679791,20.051698767305624,25.53084613912847
