feature,coefficient,abs_coefficient
tempmax,11.679346595745239,11.679346595745239
time_idx,8.08471996739286,8.08471996739286
weekday,7.493542957112338,7.493542957112338
sunset_minutes,6.750665848875876,6.750665848875876
month,6.086676982098656,6.086676982098656
year,5.918504776289858,5.918504776289858
precipcover,-5.580197257506905,5.580197257506905
windspeed,-2.8687759666838333,2.8687759666838333
uvindex,2.583763422431091,2.583763422431091
precip,-1.716023832236398,1.716023832236398
humidity,-1.6484846980197565,1.6484846980197565
snow,0.5595761320971437,0.5595761320971437
snowdepth,-0.5531034982257527,0.5531034982257527
visibility,-0.43496307324698186,0.43496307324698186
cloudcover,0.3883852640351508,0.3883852640351508
sealevelpressure,0.014946095984842039,0.014946095984842039
