feature,coefficient,abs_coefficient
total_rentals_lag_7,11.838598200018287,11.838598200018287
total_rentals_lag_1,10.236498926557754,10.236498926557754
tempmax,6.870179413687876,6.870179413687876
precipcover,-6.782863024110796,6.782863024110796
weekday,4.282679428922523,4.282679428922523
uvindex,2.961910923890057,2.961910923890057
year,2.618501047802773,2.618501047802773
time_idx,2.568002936609661,2.568002936609661
windspeed,-2.137585362267207,2.137585362267207
station_31258.0,2.050854405710552,2.050854405710552
station_31229.0,1.8085855963998922,1.8085855963998922
station_31201.0,1.4056110701771105,1.4056110701771105
visibility,-1.3786967903424678,1.3786967903424678
station_31247.0,1.2651617452191173,1.2651617452191173
precip,-1.1165386711528587,1.1165386711528587
station_31288.0,1.1074808013386466,1.1074808013386466
station_31627.0,-1.1005156629692436,1.1005156629692436
station_31214.0,-1.0047063874412927,1.0047063874412927
month,0.9898100924272113,0.9898100924272113
station_31203.0,-0.9710858628106311,0.9710858628106311
station_31603.0,0.954886510125802,0.954886510125802
humidity,-0.9071896323573744,0.9071896323573744
sunset_minutes,0.8970627540417244,0.8970627540417244
station_31623.0,0.8717947997192956,0.8717947997192956
station_31125.0,-0.8476757607177486,0.8476757607177486
station_31202.0,-0.7755217103517448,0.7755217103517448
station_31266.0,-0.6180246933887947,0.6180246933887947
station_31281.0,-0.5555709053740029,0.5555709053740029
station_31200.0,-0.5153283845559893,0.5153283845559893
station_31613.0,-0.45911090513608005,0.45911090513608005
station_31289.0,0.33136043557783307,0.33136043557783307
snowdepth,-0.32256681696341083,0.32256681696341083
station_31248.0,0.3191584497678358,0.3191584497678358
station_31600.0,-0.31321833270076044,0.31321833270076044
sealevelpressure,-0.304977588356399,0.304977588356399
cloudcover,0.29068887361785467,0.29068887361785467
snow,0.1119235251627323,0.1119235251627323
