alpha,train_rmse,validation_rmse,train_mae,validation_mae
1000.0,21.763107183935116,23.813796704629794,14.965256659362348,18.12948910797895
500.0,21.74594169078229,23.895447195653244,14.962987815831532,18.198369851053158
100.0,21.736424294552258,23.98050213066207,14.966316026269633,18.26620209619972
50.0,21.733202197937175,23.992632262095665,14.964745803894075,18.27451869569745
10.0,21.72087645653535,24.00472754376071,14.953934902974147,18.276761794637864
5.0,21.715816972981234,24.00943895318035,14.949265230835085,18.276623215111844
1.0,21.711123259962033,24.02028087452274,14.944608317981523,18.279498539288642
0.1,21.710659118419365,24.025590765155368,14.943965384132097,18.281496819714455
0.01,21.71065318487371,24.026241384348836,14.943945021427625,18.28177084801692
0.001,21.710653123959766,24.026307884278165,14.943943338567191,18.281798618805105
