feature,coefficient,abs_coefficient
tempmax,11.302483841924536,11.302483841924536
time_idx,7.821992287017777,7.821992287017777
weekday,7.587413631166735,7.587413631166735
sunset_minutes,6.715070871420588,6.715070871420588
year,5.7903745261964605,5.7903745261964605
month,5.754393173688013,5.754393173688013
precipcover,-5.526962714784594,5.526962714784594
station_31258.0,4.982756618048589,4.982756618048589
station_31229.0,4.3840871893822975,4.3840871893822975
station_31201.0,3.4182721920786983,3.4182721920786983
station_31247.0,3.082524369999108,3.082524369999108
windspeed,-2.8668520579056476,2.8668520579056476
station_31627.0,-2.6502364827555454,2.6502364827555454
uvindex,2.6483717460388316,2.6483717460388316
station_31288.0,2.64217925219395,2.64217925219395
station_31214.0,-2.4013342947377985,2.4013342947377985
station_31603.0,2.308279385298762,2.308279385298762
station_31203.0,-2.3070567262433688,2.3070567262433688
station_31623.0,2.0447486360575438,2.0447486360575438
station_31125.0,-2.019682620401966,2.019682620401966
station_31202.0,-1.8808842679830242,1.8808842679830242
precip,-1.7478429607380197,1.7478429607380197
humidity,-1.6088966091108197,1.6088966091108197
station_31266.0,-1.4447269682387387,1.4447269682387387
station_31281.0,-1.3693874204396352,1.3693874204396352
station_31200.0,-1.2371857166580216,1.2371857166580216
station_31613.0,-1.1352698710193438,1.1352698710193438
station_31289.0,0.9406142988208511,0.9406142988208511
station_31248.0,0.8794662901789769,0.8794662901789769
station_31600.0,-0.742194015046436,0.742194015046436
snow,0.4897689786405014,0.4897689786405014
snowdepth,-0.42324258903715195,0.42324258903715195
visibility,-0.41916367023518813,0.41916367023518813
cloudcover,0.2989843683446895,0.2989843683446895
sealevelpressure,-0.1363760523345839,0.1363760523345839
