alpha,train_rmse,validation_rmse,train_mae,validation_mae
1000.0,25.935197268221224,30.950089839733554,18.20461759362012,23.57976922006681
500.0,25.914401613370217,31.23662896272535,18.2323387874554,23.844146447870326
100.0,25.905491457242505,31.50427569674238,18.265920373128946,24.085478904496505
50.0,25.9042134692831,31.539603906681084,18.269964386575463,24.117098692556468
10.0,25.900060726681982,31.563681884218393,18.269000118025605,24.138926217870875
0.001,25.896677474039564,31.563737453221687,18.264008851615163,24.140458647700758
0.01,25.8966774941438,31.563740528602406,18.26401349717075,24.140457208950036
0.1,25.896679452555677,31.563771453565597,18.264059587392477,24.140442152325356
1.0,25.896832706773512,31.564077993910576,18.264584134540726,24.140246611039018
5.0,25.898384583809957,31.564661680468095,18.26700212685648,24.139987026677982
