feature,coefficient,abs_coefficient
tempmax,12.993017991769966,12.993017991769966
time_idx,11.422681502159554,11.422681502159554
weekday,5.792303750192615,5.792303750192615
precipcover,-5.471251085755953,5.471251085755953
sunset_minutes,3.142240646820575,3.142240646820575
uvindex,2.118855209190386,2.118855209190386
month,1.2646675320206577,1.2646675320206577
windspeed,-1.1796432805618262,1.1796432805618262
precip,-0.41846399615782,0.41846399615782
humidity,-0.0,0.0
cloudcover,-0.0,0.0
visibility,0.0,0.0
sealevelpressure,0.0,0.0
year,0.0,0.0
snow,-0.0,0.0
snowdepth,-0.0,0.0
