feature,coefficient,abs_coefficient
total_rentals_lag_7,13.36173875050476,13.36173875050476
total_rentals_lag_1,11.770981784995332,11.770981784995332
precipcover,-6.486993652150382,6.486993652150382
tempmax,5.342961236061558,5.342961236061558
weekday,2.992992259740821,2.992992259740821
uvindex,2.621313643976624,2.621313643976624
time_idx,2.478696414491454,2.478696414491454
windspeed,-1.0625350514387744,1.0625350514387744
station_31258.0,0.7419396473098513,0.7419396473098513
year,0.5586979653466204,0.5586979653466204
station_31229.0,0.5288348408921333,0.5288348408921333
station_31201.0,0.18924217274763994,0.18924217274763994
precip,-0.08971925422558019,0.08971925422558019
station_31247.0,0.08055770784394554,0.08055770784394554
station_31627.0,-0.02497081993134521,0.02497081993134521
humidity,-0.0,0.0
sealevelpressure,-0.0,0.0
month,-0.0,0.0
sunset_minutes,0.0,0.0
visibility,-0.0,0.0
cloudcover,-0.0,0.0
station_31200.0,-0.0,0.0
station_31125.0,-0.0,0.0
snow,-0.0,0.0
snowdepth,-0.0,0.0
station_31214.0,-0.0,0.0
station_31203.0,-0.0,0.0
station_31248.0,0.0,0.0
station_31202.0,-0.0,0.0
station_31266.0,-0.0,0.0
station_31281.0,-0.0,0.0
station_31289.0,0.0,0.0
station_31288.0,0.0,0.0
station_31600.0,-0.0,0.0
station_31603.0,0.0,0.0
station_31613.0,-0.0,0.0
station_31623.0,0.0,0.0
