feature,importance
tempmax,0.24600933730505373
time_idx,0.21435979790198265
weekday,0.09653607933912696
station_31258.0,0.05781694089816315
sunset_minutes,0.04388518128552185
precip,0.043369237584283016
station_31247.0,0.03575386777288761
station_31288.0,0.028547375714359096
station_31289.0,0.02516213963349552
station_31623.0,0.02451623571812809
station_31229.0,0.023802868114614007
humidity,0.021079663965575528
station_31248.0,0.020386439653616018
precipcover,0.019423640145227142
station_31201.0,0.018388292507308175
cloudcover,0.015869146742895083
station_31603.0,0.011539460388315114
uvindex,0.008953645749621344
month,0.0073277350793983405
snowdepth,0.007305606616301493
sealevelpressure,0.006654651784455789
windspeed,0.006457424888065497
visibility,0.003288799692439358
station_31266.0,0.0026071268079564344
station_31627.0,0.0024244303681709824
station_31214.0,0.0019617836412068
station_31600.0,0.0019279843993062035
station_31200.0,0.0016182511798432417
station_31125.0,0.0010702341405573967
station_31203.0,0.0005143062826156282
station_31281.0,0.0004334132849172512
station_31613.0,0.00043198446877464747
snow,0.00025992838637661525
station_31202.0,0.0002581441425943704
year,5.8844416845932434e-05
