feature,importance
total_rentals_lag_1,0.4899422784885923
total_rentals_lag_7,0.27991192648655283
precipcover,0.07282027871910683
tempmax,0.05043269880831554
weekday,0.03201799232962849
precip,0.02481070026144358
time_idx,0.018273625703304226
uvindex,0.00737638975031086
sunset_minutes,0.005307888038405261
cloudcover,0.005219068793935445
windspeed,0.004195758401715638
humidity,0.003873468790141006
sealevelpressure,0.0022163821909682606
year,0.0013474114082431686
visibility,0.0009882593194322753
month,0.0006852523960562503
station_31258.0,0.0004762173279427391
snowdepth,0.00010440278590527876
station_31623.0,0.0
station_31613.0,0.0
station_31603.0,0.0
station_31600.0,0.0
station_31289.0,0.0
station_31288.0,0.0
station_31281.0,0.0
station_31266.0,0.0
station_31125.0,0.0
station_31248.0,0.0
station_31247.0,0.0
station_31229.0,0.0
station_31214.0,0.0
station_31203.0,0.0
station_31202.0,0.0
station_31201.0,0.0
station_31200.0,0.0
snow,0.0
station_31627.0,0.0
