max_depth,min_samples_leaf,min_samples_split,train_rmse,validation_rmse,train_mae,validation_mae
8.0,10,20,19.520638882175042,24.599465095886124,13.656046564049387,18.393539868753507
10.0,10,20,17.915034461717,25.127121007757115,12.54425937192075,18.848753623745964
8.0,5,10,19.312799712474256,25.502985166421396,13.554913267034863,18.781266698006
10.0,5,10,17.180712066081718,26.336935999458262,12.13890183045039,19.411565033598997
,10,20,15.35132038214284,26.358020948375536,10.586991801716705,20.059848946953924
5.0,5,10,22.623691190302356,26.431301102998887,15.969874774314452,19.674613605006012
5.0,10,20,22.623691190302356,26.431301102998887,15.969874774314452,19.674613605006012
12.0,5,10,15.478365077663733,27.846123327541804,10.946632977127642,20.43912321344779
3.0,5,10,26.12506579807371,28.346490875292627,18.687311210105936,21.36040081750845
,5,10,12.420328345417156,29.511769507277968,8.503626698694424,22.392457281176732
