feature,importance
tempmax,0.23886330755284824
time_idx,0.21022170301498028
weekday,0.09989973023336196
station_31258.0,0.060063927559421214
sunset_minutes,0.04557030549948994
precip,0.04393136714343783
station_31247.0,0.037859511144803404
station_31288.0,0.030619920052882308
station_31289.0,0.02686102693457725
station_31623.0,0.02496338257112636
station_31229.0,0.02435808843219263
station_31248.0,0.02059753317698043
precipcover,0.020575392368314314
station_31201.0,0.018970019901486213
humidity,0.01894503712914706
cloudcover,0.018445534132267745
station_31603.0,0.011847243743618866
month,0.007096176622691238
sealevelpressure,0.006663889138386071
snowdepth,0.005647245510555546
uvindex,0.005337871530444976
visibility,0.005007773744403799
windspeed,0.004899330443879835
station_31266.0,0.002474792628006483
station_31200.0,0.0019559466335252263
station_31214.0,0.0019334139522458364
station_31600.0,0.0018993892755564425
station_31627.0,0.0015976129777253302
station_31125.0,0.001069085515624781
station_31203.0,0.0006032306404209432
station_31613.0,0.0004869219110511793
station_31281.0,0.00038884729435642156
station_31202.0,0.00017740774848214243
year,9.756137866788001e-05
snow,7.047246303972454e-05
