max_depth,min_samples_leaf,min_samples_split,train_rmse,validation_rmse,train_mae,validation_mae
,10,20,16.124709850497055,27.20082843836552,11.139975224301402,20.511160419151505
,5,10,13.556007952995436,27.60809523337979,9.327863798936907,20.8924449964226
12.0,5,10,18.1424686585836,28.280113357441515,12.999231546261399,21.747431038022146
10.0,5,10,20.025889095152007,28.9562193135155,14.408994958534361,22.541376891487836
8.0,10,20,22.690370592334084,29.00026239316638,16.32146993119561,22.63537076833055
8.0,5,10,22.47792350213297,29.111868476959103,16.19910536271232,22.747401390459665
10.0,10,20,20.549664662888073,29.377550794021616,14.771523932840157,22.817944444893396
5.0,5,10,27.08468643557307,32.1959962331129,19.435875583059516,24.084801716896628
5.0,10,20,27.08468643557307,32.1959962331129,19.435875583059516,24.084801716896628
3.0,5,10,30.11384664024031,34.64117712101249,21.613344917944744,26.130837600583263
