n_neighbors,weights,p,train_rmse,validation_rmse,train_mae,validation_mae
25,uniform,2,24.704263591752277,32.65070996692119,17.45377335108092,24.653322098167266
25,distance,2,24.379180456465814,32.67447515456772,17.187751922415277,24.67775060081517
9,distance,2,25.011919811297492,33.41399123477357,17.037390798794387,25.190038152751445
9,uniform,2,25.012766921902198,33.41399123477357,17.039835171840494,25.19003815275145
5,uniform,2,26.22695420925081,33.778724810774094,17.243530545738288,25.44908363176743
5,distance,2,26.22695420925081,33.778724810774094,17.243530545738288,25.44908363176743
15,distance,2,24.6941416705805,34.046672248637485,17.720029051185243,25.928881398778177
15,uniform,2,24.703888571130346,34.046672248637485,17.746732761126665,25.928881398778177
7,distance,2,26.85343803068154,34.34126379604007,17.239049935850783,25.673056667368865
7,uniform,2,26.853798130521273,34.34126379604007,17.240110419712934,25.673056667368865
3,uniform,2,27.349652808001913,35.785293740397194,17.617692507764566,26.883154272874094
3,distance,2,27.349652808001913,35.7852937403972,17.617692507764566,26.883154272874098
