n_neighbors,weights,p,train_rmse,validation_rmse,train_mae,validation_mae
25,distance,1,0.0,22.684008387449918,0.0,17.23697521092312
25,uniform,1,18.331913381326505,22.749634599954696,12.52865203176086,17.296076514346442
25,distance,2,1.2213336664897386e-05,22.827292523524576,4.412907090478186e-06,17.373561758681696
25,uniform,2,19.785857186518975,22.898057646790683,13.79990098085007,17.437976620616364
50,distance,1,0.0,23.011366911199357,0.0,17.55956791493481
50,uniform,1,19.11122656386394,23.12528465172195,13.198131714152264,17.65571094580234
50,distance,2,2.307300133600961e-05,23.157883175527832,8.412178305188462e-06,17.721565205329835
50,uniform,2,20.720291704813302,23.26820072122898,14.650064455861747,17.82393623804463
75,distance,1,0.0,23.37008347160651,0.0,17.863872716983547
75,uniform,1,19.634946996224702,23.522421524368095,13.675271368519383,17.992402408784983
75,distance,2,3.3416934621880946e-05,23.655151578911646,1.2291283640183316e-05,18.122063152116176
100,distance,1,0.0,23.696485679907433,0.0,18.173355137814756
75,uniform,2,21.315941552365064,23.818758751385946,15.23967740931029,18.263886645412683
100,uniform,1,20.148778857858055,23.887556367342714,14.143996263428303,18.333653560042507
100,distance,2,4.3660360321891924e-05,24.078168196319957,1.616149261998504e-05,18.502762150032176
100,uniform,2,21.818841300114652,24.28460701415803,15.728021952358711,18.679066950053137
150,distance,1,0.0,24.457309889868597,0.0,18.810705085790723
150,uniform,1,21.040771327840524,24.743716199834793,14.902534641133427,19.043205100956428
150,distance,2,6.384094194137783e-05,24.93209735081894,2.3829018808520166e-05,19.266325046736476
200,distance,1,0.0,25.125123256000126,0.0,19.378468697134657
150,uniform,2,22.726261829750452,25.23967707658353,16.555769889459754,19.524177116542685
200,uniform,1,21.76447462056247,25.49817739720177,15.518221858944418,19.68438788522848
200,distance,2,8.376561569052216e-05,25.8818351191452,3.1466155850252e-05,20.115722197152184
200,uniform,2,23.509728164302782,26.31902395380531,17.252928771602054,20.488174282678003
