feature,importance
tempmax,0.14705881756459363
time_idx,0.13846611716971471
sunset_minutes,0.09939543975691223
weekday,0.07664151646036532
year,0.05628280745397839
month,0.048788456509781884
station_31258.0,0.04290423989164417
uvindex,0.03645623684046099
precip,0.0319408438922869
precipcover,0.031771393527560136
cloudcover,0.03105639784598453
humidity,0.030964524693948125
windspeed,0.026842606561521397
station_31247.0,0.023632705568598145
visibility,0.021907221017330294
sealevelpressure,0.020259918897323422
station_31623.0,0.01893622827539959
station_31288.0,0.017204566613660616
snowdepth,0.01541275541051662
station_31229.0,0.014849832103294274
station_31289.0,0.012764423539480872
station_31248.0,0.010044756402161365
station_31201.0,0.008669498126417203
station_31627.0,0.005766410348610379
station_31214.0,0.0056595404314529795
station_31603.0,0.004978774338735855
snow,0.00450942231687233
station_31266.0,0.003860103696159159
station_31203.0,0.0033239747600795743
station_31125.0,0.0032355426305586254
station_31281.0,0.0019617811983367217
station_31202.0,0.001593820063834024
station_31200.0,0.0012609873252412472
station_31600.0,0.0008791816523240098
station_31613.0,0.0007191571148604072
