feature,importance
total_rentals_lag_7,0.24537344765762098
total_rentals_lag_1,0.23706133931634166
tempmax,0.08079872816618902
time_idx,0.06707485844243063
sunset_minutes,0.05469912769751712
weekday,0.036723508018801226
precipcover,0.03373352708790315
precip,0.027728418404877955
uvindex,0.02674037727351599
month,0.026451678334315533
cloudcover,0.023686738666350283
humidity,0.023045866891996707
year,0.019206751887487897
windspeed,0.01850245729973589
visibility,0.01572609266984748
sealevelpressure,0.014368261325855742
station_31258.0,0.011534046577256896
snowdepth,0.008196241869910881
station_31247.0,0.004982300967671016
station_31623.0,0.004058122158370437
station_31288.0,0.0034490116435701283
station_31289.0,0.0029569796510811636
station_31229.0,0.002606565542935458
station_31248.0,0.002314842015809621
snow,0.0020327191117232037
station_31201.0,0.0013272444521802136
station_31627.0,0.0008888135369855644
station_31603.0,0.0008322423911324095
station_31214.0,0.0008230213493148409
station_31266.0,0.000714236299068482
station_31125.0,0.0005407541615550089
station_31200.0,0.0004930188530453828
station_31203.0,0.00043592895128720545
station_31202.0,0.00024335245151327508
station_31613.0,0.00023158157297175348
station_31281.0,0.0002164584324625463
station_31600.0,0.00020133886936727962
