feature,importance
tempmax,0.14501969078614452
time_idx,0.1414776548160776
sunset_minutes,0.09206272309209665
weekday,0.0789669785858478
month,0.05048369045885944
year,0.049940036823526185
station_31258.0,0.04419690396823598
uvindex,0.03816378814244669
precipcover,0.03266014932328251
humidity,0.031969417952921485
cloudcover,0.030855810887327854
precip,0.030066666351808727
windspeed,0.027764006055301837
station_31247.0,0.024917675404019984
visibility,0.02060531292411797
sealevelpressure,0.02021560394407319
station_31623.0,0.01920743971408482
station_31288.0,0.01858872289371871
snowdepth,0.016207929927667106
station_31229.0,0.01544149536556
station_31289.0,0.01293997981945868
station_31248.0,0.010797955153243657
station_31201.0,0.009194493803669683
station_31214.0,0.006014198999710142
station_31627.0,0.005843527685515034
station_31603.0,0.00508366435763813
station_31266.0,0.004020940865061617
station_31203.0,0.003638964569010454
station_31125.0,0.003482707404783512
snow,0.003386857207226896
station_31281.0,0.002090436790218666
station_31202.0,0.001742230259033438
station_31200.0,0.001358920284099397
station_31600.0,0.000943335241216106
station_31613.0,0.0006500901429955909
