feature,importance
tempmax,0.24216377979267534
time_idx,0.22300040904770047
weekday,0.1393603867911318
sunset_minutes,0.08576861415660754
station_31258.0,0.05172529367202619
precip,0.040171255442105584
precipcover,0.0324684969470996
station_31247.0,0.026104251548319836
station_31623.0,0.023659833773279796
station_31229.0,0.022718882960340893
station_31201.0,0.015230715462831734
uvindex,0.015230421308345954
station_31288.0,0.01263160721540649
station_31289.0,0.009622931447635133
station_31603.0,0.008627885077142848
month,0.008116488511490862
windspeed,0.006461901195180249
station_31627.0,0.005106086566092018
station_31248.0,0.004850790178693247
cloudcover,0.00459403345964791
humidity,0.0036446911441152773
station_31214.0,0.0036225164266750877
visibility,0.003184361976568265
station_31203.0,0.0029986624522619024
snowdepth,0.0021694727083843342
station_31125.0,0.0019350162525532094
sealevelpressure,0.0014173140379237022
station_31202.0,0.001280125417644546
station_31266.0,0.0011181808185964414
station_31200.0,0.0007023528907283069
station_31281.0,0.00019793547990642308
station_31613.0,7.564397238211334e-05
year,3.966186850711122e-05
station_31600.0,0.0
snow,0.0
