feature,importance
total_rentals_lag_1,0.37249216801312734
total_rentals_lag_7,0.3463246533045939
tempmax,0.07115843311477199
precipcover,0.05654093505981469
precip,0.03638816647677902
weekday,0.03580931018549566
time_idx,0.0260647674481072
uvindex,0.013366787817595191
station_31258.0,0.009308095021283307
humidity,0.0062843401328285245
cloudcover,0.005707015941204123
windspeed,0.004805650929294328
station_31229.0,0.002554336864900537
sunset_minutes,0.0023024801978640693
station_31247.0,0.0021696517799811295
station_31623.0,0.002113752659534958
visibility,0.0018806938102816349
station_31288.0,0.001650162035542965
station_31201.0,0.001160592482172842
sealevelpressure,0.0005754118591918709
station_31603.0,0.00046159101491265354
month,0.00031565231606432383
station_31627.0,0.0002721891440161242
station_31289.0,0.0002119380972773657
station_31203.0,6.838671698733993e-05
year,1.2837576376809662e-05
station_31125.0,0.0
snow,0.0
snowdepth,0.0
station_31200.0,0.0
station_31248.0,0.0
station_31202.0,0.0
station_31214.0,0.0
station_31266.0,0.0
station_31281.0,0.0
station_31600.0,0.0
station_31613.0,0.0
