feature,importance
tempmax,0.22990074447428435
time_idx,0.2110018826690082
weekday,0.14767395933030708
sunset_minutes,0.0932057491265676
station_31258.0,0.04847474162320882
precip,0.04179221909789972
precipcover,0.03307183426388124
station_31247.0,0.026865172406273497
station_31623.0,0.02567692303830391
station_31229.0,0.023570483422958165
station_31288.0,0.016878309228042957
station_31201.0,0.016100138251971482
uvindex,0.015657513580622437
station_31289.0,0.010010645686074704
station_31603.0,0.009498101651986817
windspeed,0.006312094383561208
month,0.005821099239908819
station_31248.0,0.005717958768809272
cloudcover,0.005628846971291726
station_31627.0,0.00531528754240871
humidity,0.005018488101571207
station_31214.0,0.003700330453230854
station_31203.0,0.002878617151697342
visibility,0.002334624038638404
sealevelpressure,0.0019147866186934794
station_31125.0,0.0018259474018732594
station_31202.0,0.001317727832509558
snowdepth,0.0010543658846334219
station_31266.0,0.0009497024332069023
station_31200.0,0.0006433134928780976
station_31281.0,0.00018839183369689032
snow,0.0
year,0.0
station_31600.0,0.0
station_31613.0,0.0
