hidden_layer_sizes,activation,alpha,learning_rate_init,train_rmse,validation_rmse,train_mae,validation_mae,iterations_used,final_training_loss
"(64, 32)",tanh,0.001,0.0005,24.56648133219374,31.913586819273565,17.337202010223702,24.051651596743117,500,302.8081739353337
"(64, 32)",tanh,0.0001,0.0005,24.56647627119853,31.91403327398341,17.337199939595816,24.051990199901176,500,302.805750336727
"(64, 32)",relu,0.0001,0.0005,24.792618169410016,32.15270724229739,17.533293538990332,24.664956417291215,500,308.241000183579
"(64, 32)",tanh,0.001,0.001,24.531514016219564,32.46403949216325,17.35896200047438,24.579274884377448,324,302.7044544553247
"(64, 32)",tanh,0.0001,0.001,24.532075232940954,32.47745257134328,17.360513857478953,24.58961204453742,324,302.70708319741925
"(64, 32)",relu,0.0001,0.001,24.71173427618975,32.83666735435134,17.36089944407912,25.39844683993232,365,307.63124239444596
"(64, 32)",relu,0.001,0.001,24.832100418420442,32.85399195426975,17.34535650070027,25.48079334407387,232,309.89248307930774
"(128, 64)",tanh,0.001,0.001,24.49461565589086,33.04423539384152,17.355243425307567,24.976996542115668,267,301.74910516493986
"(64, 32)",relu,0.001,0.0005,24.802807417591396,33.90704622945492,17.5541334775339,26.054289576963864,500,308.2756079441067
"(128, 64)",relu,0.001,0.001,24.703139422215436,34.205546278983924,17.35555109397725,26.05944254135886,162,307.7547321724929
"(32, 16)",tanh,0.0001,0.0005,24.861513278663757,34.3052970858603,17.4848929824069,25.91838798550496,500,309.68103374004687
"(32, 16)",tanh,0.001,0.0005,24.861643973653177,34.31298199964801,17.48490097198958,25.922708937026368,500,309.68715297631644
