display_name,experiment,variant_label,n_features,n_train,n_validation,n_test,validation_mae,validation_rmse,validation_r2,validation_mape,test_mae,test_rmse,test_r2,test_mape,fit_time_seconds,predict_time_seconds,rank_sum_validation,rank_sum_test
Dummy,with_lag,with lag,37,21410,4705,4725,36.41862751472814,45.45745494052036,-0.490244568158283,0.586906938060169,37.69490944497577,48.017361941966215,-0.4987726462569104,0.6391352983401675,0.0001909589918795,4.533299943432212e-05,102.0,102.0
Dummy,without_lag,without lag,35,21410,4705,4725,36.41862751472814,45.45745494052036,-0.490244568158283,0.586906938060169,37.69490944497577,48.017361941966215,-0.4987726462569104,0.6391352983401675,0.0002936250239145,6.275001214817166e-05,102.0,102.0
Linear,with_lag,with lag,37,21410,4705,4725,18.28180170863832,24.026315289620964,0.583685384879421,0.3706972552772413,19.038399158115418,24.968685913705656,0.5947429878780885,0.3397300504216236,0.01037458301289,0.0008996249816846,49.0,41.0
Linear,without_lag,without lag,35,21410,4705,4725,24.140458806800055,31.56373711173364,0.2815043405212689,0.5556648627630951,27.66673682190554,35.74796216156461,0.1693047164534804,0.6131123096630491,0.0178671250178013,0.0006964589993003,96.0,96.0
Ridge,with_lag,with lag,37,21410,4705,4725,18.12948910797895,23.81379670462979,0.591017620575182,0.3726494036633451,18.995752764903063,24.919740965427863,0.596330243408981,0.3446297446905629,0.0017184170137625,0.0006967909866943,45.0,37.0
Ridge,without_lag,without lag,35,21410,4705,4725,23.57976922006681,30.95008983973355,0.3091700752113001,0.5432224155118646,26.913518529014855,34.86997665978178,0.209608103690958,0.5954941698359003,0.0020281669858377,0.0005970839993096,88.0,90.0
Lasso,with_lag,with lag,37,21410,4705,4725,17.344840058682475,23.152364983985105,0.6134211994936566,0.3385626385010759,17.77562759635636,23.85923638623661,0.629956955441658,0.2905165731750061,0.0126241249963641,0.0006184169906191,29.0,21.0
Lasso,without_lag,without lag,35,21410,4705,4725,22.884220558957136,30.04185128463958,0.3491203437619097,0.5078899262054487,25.446628260157148,32.90818683813494,0.2960414723594023,0.5538106934183544,0.0094919999828562,0.000829500000691,86.0,84.0
Decision Tree,with_lag,with lag,37,21410,4705,4725,18.393539868753507,24.599465095886124,0.5635860332546587,0.3502190900014604,19.466709763113595,26.67575172655365,0.5374352872981776,0.2823117481135546,0.0783597079862374,0.0018780830141622,52.0,40.0
Decision Tree,without_lag,without lag,35,21410,4705,4725,20.511160419151505,27.20082843836552,0.4664052152205327,0.3616535126342439,23.390684769214637,30.57555289584047,0.3923020046354799,0.3325351381201941,0.0883143749961163,0.0020379170018713,76.0,73.0
KNN,with_lag,with lag,37,21410,4705,4725,17.23697521092312,22.68400838744992,0.6289034540415275,0.2901615727518468,19.547600068708984,25.365010807058464,0.5817756942514585,0.2824088974044135,0.00282712499029,4.065496791998157,19.0,38.0
KNN,without_lag,without lag,35,21410,4705,4725,19.46668278525768,25.278480796963727,0.5391609703887185,0.3418800467170786,21.613677439632607,27.861958469180593,0.4953823385703862,0.3199852335588455,0.0012146249937359,0.5358153749839403,58.0,58.0
Random Forest,with_lag,with lag,37,21410,4705,4725,16.205454755911106,21.575830132943956,0.6642760360930721,0.3111110704737524,17.165365160035705,23.015237184408505,0.6556737955566567,0.2951573849754749,0.3652870419900864,0.0592076249886304,15.0,16.0
Random Forest,without_lag,without lag,35,21410,4705,4725,19.491917745050515,25.597947898147744,0.5274392846717562,0.3450820731077684,22.483105279863025,29.018640507267975,0.4526144984263341,0.3601077926890987,0.5232047919998877,0.1044481659773737,65.0,72.0
Gradient Boosting,with_lag,with lag,37,21410,4705,4725,16.073564335869857,21.476270657206385,0.6673672158669182,0.2975299516989336,16.919278152082544,22.78297211191439,0.6625884673252032,0.2529670353986311,9.52526554101496,0.0590415000042412,8.0,6.0
Gradient Boosting,without_lag,without lag,35,21410,4705,4725,19.06168164790931,24.50583288503099,0.5669019295734716,0.3493950911689913,22.425230760755703,28.244301943703725,0.4814377992540491,0.3484446704022473,7.501929582998855,0.0455686249770224,54.0,69.0
Neural Network,with_lag,with lag,37,21410,4705,4725,17.190539899472114,22.68486784543178,0.6288753330917292,0.2778095400710643,18.890433150368093,24.31414273840152,0.6157117644057912,0.2988288148610247,7.1654774580092635,0.0235916659876238,21.0,29.0
Neural Network,without_lag,without lag,35,21410,4705,4725,19.06460025528714,25.554099554752547,0.5290568563180305,0.2990185188178608,20.121731788266757,26.26211766504302,0.551669122000017,0.289651399820847,7.8465362090209965,0.0269722920202184,55.0,46.0
