demand_bin,mae,n,model
0–25,14.545596858913154,191,Gradient Boosting
25–50,13.278313358181379,372,Gradient Boosting
50–75,14.683514364230897,898,Gradient Boosting
75–100,13.059719758662064,1354,Gradient Boosting
100–125,15.31340164818768,999,Gradient Boosting
125–150,22.543522419667237,544,Gradient Boosting
150–175,29.116085288859235,215,Gradient Boosting
175–200,42.67167937317952,105,Gradient Boosting
200+,64.99876878424044,47,Gradient Boosting
0–25,15.886146858741066,191,Neural Network
25–50,15.464794178625372,372,Neural Network
50–75,17.694523712862956,898,Neural Network
75–100,14.386076060158633,1354,Neural Network
100–125,17.455878153139267,999,Neural Network
125–150,24.685041375760505,544,Neural Network
150–175,33.177562231682884,215,Neural Network
175–200,42.834748848751694,105,Neural Network
200+,55.40001232095226,47,Neural Network
0–25,19.263431824755067,191,Lasso
25–50,19.98783814193625,372,Lasso
50–75,18.1397016375394,898,Lasso
75–100,14.113000137888143,1354,Lasso
100–125,13.28322534862829,999,Lasso
125–150,18.77528284355355,544,Lasso
150–175,28.426574974302913,215,Lasso
175–200,44.54106437681972,105,Lasso
200+,68.17815955383814,47,Lasso
