Model,Model full,Experiment,Train RMSE,Validation RMSE,Test RMSE,Test MAE,Test R2,Test MAPE,n_features,Path
Linear,Linear Regression,with_lag,21.710653123342844,24.026315289620964,24.968685913705656,19.038399158115418,0.5947429878780885,0.3397300504216236,37,modelling/01_linear_regression/results/with_lag/metrics.json
Linear,Linear Regression,without_lag,25.896677473835954,31.56373711173364,35.74796216156461,27.66673682190554,0.16930471645348044,0.6131123096630491,35,modelling/01_linear_regression/results/without_lag/metrics.json
Ridge,Ridge,with_lag,21.763107183935116,23.813796704629794,24.919740965427863,18.995752764903063,0.596330243408981,0.34462974469056296,37,modelling/02_ridge_regression/results/with_lag/metrics.json
Ridge,Ridge,without_lag,25.935197268221224,30.950089839733554,34.86997665978178,26.913518529014855,0.20960810369095806,0.5954941698359003,35,modelling/02_ridge_regression/results/without_lag/metrics.json
Lasso,Lasso,with_lag,22.294678049508704,23.152364983985105,23.85923638623661,17.77562759635636,0.629956955441658,0.2905165731750061,37,modelling/03_lasso_regression/results/with_lag/metrics.json
Lasso,Lasso,without_lag,26.903856596216585,30.04185128463958,32.90818683813494,25.446628260157148,0.29604147235940237,0.5538106934183544,35,modelling/03_lasso_regression/results/without_lag/metrics.json
Tree,Decision Tree,with_lag,19.520638882175042,24.599465095886124,26.67575172655365,19.466709763113595,0.5374352872981776,0.2823117481135546,37,modelling/04_decision_tree/results/with_lag/metrics.json
Tree,Decision Tree,without_lag,16.124709850497055,27.20082843836552,30.57555289584047,23.390684769214637,0.39230200463547993,0.3325351381201941,35,modelling/04_decision_tree/results/without_lag/metrics.json
KNN,KNN,with_lag,0.0,22.684008387449918,25.365010807058464,19.547600068708984,0.5817756942514585,0.28240889740441355,37,modelling/05_knn_regressor/results/with_lag/metrics.json
KNN,KNN,without_lag,1.1671527206472127e-05,25.278480796963727,27.861958469180593,21.613677439632607,0.49538233857038627,0.3199852335588455,35,modelling/05_knn_regressor/results/without_lag/metrics.json
RF,Random Forest,with_lag,13.966042885243354,21.575830132943956,23.015237184408505,17.165365160035705,0.6556737955566567,0.2951573849754749,37,modelling/06_random_forest/results/with_lag/metrics.json
RF,Random Forest,without_lag,16.936111205746094,25.597947898147744,29.018640507267975,22.483105279863025,0.45261449842633417,0.36010779268909876,35,modelling/06_random_forest/results/without_lag/metrics.json
GB,Gradient Boosting,with_lag,17.97393855161059,21.476270657206385,22.78297211191439,16.919278152082544,0.6625884673252032,0.2529670353986311,37,modelling/07_gradient_boosting/results/with_lag/metrics.json
GB,Gradient Boosting,without_lag,18.49660806944096,24.50583288503099,28.244301943703725,22.425230760755703,0.48143779925404917,0.34844467040224736,35,modelling/07_gradient_boosting/results/without_lag/metrics.json
NN,Neural Network,with_lag,14.01716040467181,22.68486784543178,24.31414273840152,18.890433150368093,0.6157117644057912,0.29882881486102475,37,modelling/08_neural_network/results/with_lag/metrics.json
NN,Neural Network,without_lag,14.212163223458388,25.554099554752547,26.26211766504302,20.121731788266757,0.551669122000017,0.289651399820847,35,modelling/08_neural_network/results/without_lag/metrics.json
