weekday_name,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Mon,15.820674957086265,20.85285864788863,-2.3645000859120766,83.21323529411765,80.84873520820557,680,Gradient Boosting
Tue,15.507761068833123,20.951281752032877,-5.655058757312343,87.01323529411765,81.3581765368053,680,Gradient Boosting
Wed,16.41286132021036,21.063295377573947,-7.829631336236322,89.12058823529412,81.29095689905779,680,Gradient Boosting
Thu,16.055322480876885,21.669711147211125,-5.557700283796068,93.40265486725664,87.84495458346056,678,Gradient Boosting
Fri,14.789006841885177,20.15878742275849,-4.601468045561354,95.8463810930576,91.24491304749625,677,Gradient Boosting
Sat,20.921940211331698,28.026856512794705,-5.710043510302698,103.38632986627043,97.67628635596775,673,Gradient Boosting
Sun,19.027968092853527,25.71856349036567,-2.7654301238271786,101.16590563165906,98.40047550783189,657,Gradient Boosting
Mon,16.671223404811993,21.500528555383884,-6.383814951955429,83.21323529411765,76.82942034216222,680,Neural Network
Tue,17.65698896491276,22.355322840909583,-8.301062511864906,87.01323529411765,78.71217278225274,680,Neural Network
Wed,19.007672655926186,23.641705199949545,-9.79783403974266,89.12058823529412,79.32275419555145,680,Neural Network
Thu,17.9575131219407,23.323058325187894,-8.413845798901491,93.40265486725664,84.98880906835515,678,Neural Network
Fri,17.914326637017687,23.049135980288526,-7.024379041648483,95.8463810930576,88.82200205140911,677,Neural Network
Sat,21.16238594877826,26.86946193317886,-8.766938305548907,103.38632986627043,94.61939156072152,673,Neural Network
Sun,21.983890478815944,28.793632974138255,-4.848747668545537,101.16590563165906,96.31715796311352,657,Neural Network
Mon,17.207404981065867,22.306295668364996,6.894810246107621,83.21323529411765,90.10804554022528,680,Lasso
Tue,15.312737101931097,20.96266256430817,-0.4337981004380948,87.01323529411765,86.57943719367955,680,Lasso
Wed,15.969667202824551,20.910182150292126,0.09719788680962525,89.12058823529412,89.21778612210375,680,Lasso
Thu,16.958044717933994,22.21173896511476,1.881692003743529,93.40265486725664,95.28434687100017,678,Lasso
Fri,15.242831456237276,20.68300245632071,0.24132832164909535,95.8463810930576,96.0877094147067,677,Lasso
Sat,23.977432492313827,32.09953178671933,-4.122241403472201,103.38632986627043,99.26408846279824,673,Lasso
Sun,19.88281095352525,25.8119053492733,4.364043836262877,101.16590563165906,105.52994946792194,657,Lasso
