day_of_month_int,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
1,14.956519363876694,19.733397909936446,-2.1462800911511706,93.91428571428571,91.76800562313454,140,Gradient Boosting
2,16.254510800515927,22.413330352029483,-2.2172112426244426,89.8,87.58278875737557,140,Gradient Boosting
3,16.75535482340282,20.994244630808314,-4.209388482916877,95.03571428571429,90.8263258027974,140,Gradient Boosting
4,17.12323381626283,23.635551984345962,-5.772239385641284,89.26618705035972,83.49394766471843,139,Gradient Boosting
5,16.448464214789173,22.139678679442135,-3.6706163755418526,83.5251798561151,79.85456348057325,139,Gradient Boosting
6,16.033018296302075,20.685313905928638,-1.7067238647180707,89.32142857142857,87.6147047067105,140,Gradient Boosting
7,15.340786335424676,20.558098754049855,-5.613562196973783,100.35714285714286,94.74358066016907,140,Gradient Boosting
8,14.288502771044557,18.65065436862354,-1.860481935837464,89.95625,88.09576806416254,160,Gradient Boosting
9,13.629659569265478,17.97637394273964,1.902897715567306,76.48427672955975,78.38717444512706,159,Gradient Boosting
10,20.573799955515874,26.572322843142523,-9.853086563152162,90.47798742138365,80.62490085823148,159,Gradient Boosting
11,19.18978243721765,25.93542529118378,-5.314260334895168,91.9748427672956,86.66058243240043,159,Gradient Boosting
12,15.420267107599571,20.933427929979295,-7.286852641634627,87.63125,80.34439735836537,160,Gradient Boosting
13,18.43827647371354,24.086839547098783,-12.075938290864471,101.5625,89.48656170913553,160,Gradient Boosting
14,15.963870551280161,22.089716316311055,-3.737230776014254,97.25625,93.51901922398574,160,Gradient Boosting
15,14.893339931604839,20.99420963409638,-2.9591818590296537,88.10625,85.14706814097035,160,Gradient Boosting
16,21.702091871401223,31.819672474236743,-10.510323056094432,99.25157232704403,88.7412492709496,159,Gradient Boosting
17,16.88797090313469,21.915456327386355,-0.21697832155577618,89.51875,89.30177167844423,160,Gradient Boosting
18,16.046527768859562,20.113446643016374,-1.1367738288120335,86.425,85.28822617118797,160,Gradient Boosting
19,15.556467251485492,20.915089621791434,-8.302986697597547,90.36477987421384,82.06179317661629,159,Gradient Boosting
20,14.130717561609446,19.40129537669321,1.2018006708418145,96.68987341772151,97.89167408856333,158,Gradient Boosting
21,15.74244176984366,21.856577452925418,0.9038276147950279,93.29559748427673,94.19942509907176,159,Gradient Boosting
22,16.280300643925514,20.920929368406973,-3.495527037302935,87.95,84.45447296269705,160,Gradient Boosting
23,15.026145451816282,20.052988780587196,-4.976060709008527,90.91823899371069,85.94217828470217,159,Gradient Boosting
24,17.65485998790717,22.502714542913765,-11.066143068990803,104.15723270440252,93.09108963541172,159,Gradient Boosting
25,15.471768020230996,22.04971393783848,-3.891141560944656,97.3,93.40885843905535,160,Gradient Boosting
26,17.9189512981674,24.079226008194052,-9.585318201631601,103.9119496855346,94.32663148390299,159,Gradient Boosting
27,21.541860505478013,27.529817036558917,-3.2943491297045497,94.55345911949685,91.25910998979231,159,Gradient Boosting
