month_name,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Jan,14.629097303048741,19.601673311663564,-7.199082261769286,49.90717299578059,42.70809073401131,474,Gradient Boosting
Feb,13.645434183304607,17.35615344407832,-4.509172773039575,69.47068965517241,64.96151688213284,580,Gradient Boosting
Mar,18.897855165252807,26.755788870858243,-11.436100596876717,91.67915309446254,80.24305249758582,614,Gradient Boosting
Apr,18.667490865936195,25.370205269772622,-3.0589272501047193,100.31155778894473,97.25263053884001,597,Gradient Boosting
May,17.70729502503214,23.808100401391872,-5.865076877738535,100.5016129032258,94.63653602548727,620,Gradient Boosting
Jun,15.215865052819069,20.023063080412015,6.048214540606066,95.53666666666666,101.58488120727274,600,Gradient Boosting
Jul,18.441132071331463,24.390602839683442,-9.991799311998445,113.9,103.90820068800156,620,Gradient Boosting
Aug,17.428590920584263,22.40064168481691,-3.617009365436358,113.28870967741935,109.67170031198299,620,Gradient Boosting
Sep,,,,,,0,Gradient Boosting
Oct,,,,,,0,Gradient Boosting
Nov,,,,,,0,Gradient Boosting
Dec,,,,,,0,Gradient Boosting
Jan,18.105708109953564,23.389246776824024,-4.3629385512874395,49.90717299578059,45.54423444449315,474,Neural Network
Feb,17.27913727592015,21.462978214022232,-12.826295407893312,69.47068965517241,56.6443942472791,580,Neural Network
Mar,19.89653943348631,26.139069796178664,-15.773274412970862,91.67915309446254,75.90587868149167,614,Neural Network
Apr,17.51687213023844,22.706879881721648,-6.655416663694314,100.31155778894473,93.65614112525041,597,Neural Network
May,18.34694596632329,23.35032953308551,-9.520968696459505,100.5016129032258,90.9806442067663,620,Neural Network
Jun,17.7110773712517,23.618010243731003,9.769020799368045,95.53666666666666,105.30568746603471,600,Neural Network
Jul,21.28969187603709,26.962323983637617,-12.001057368213365,113.9,101.89894263178664,620,Neural Network
Aug,20.609486471629317,25.904367843464215,-8.945984604820266,113.28870967741935,104.3427250725991,620,Neural Network
Sep,,,,,,0,Neural Network
Oct,,,,,,0,Neural Network
Nov,,,,,,0,Neural Network
Dec,,,,,,0,Neural Network
Jan,16.35410453916842,21.290547702855005,-1.7761024476798097,49.90717299578059,48.13107054810078,474,Lasso
Feb,13.364596107583516,17.275123644731483,1.4892135334412906,69.47068965517241,70.95990318861371,580,Lasso
Mar,19.8914465434608,29.610553410339417,-6.46455343653113,91.67915309446254,85.21459965793142,614,Lasso
Apr,18.71220832954539,25.27902776863057,-1.6379521095547693,100.31155778894473,98.67360567938995,597,Lasso
May,18.120008231169972,24.530561618714998,-0.7795286993672214,100.5016129032258,99.72208420385859,620,Lasso
Jun,18.16095558245689,22.639286337658522,12.962204582755865,95.53666666666666,108.49887124942254,600,Lasso
Jul,18.454790235620806,23.999010522281186,2.178340361251286,113.9,116.07834036125128,620,Lasso
Aug,18.59523249921226,23.564514041763292,3.6649896136858797,113.28870967741935,116.95369929110522,620,Lasso
Sep,,,,,,0,Lasso
Oct,,,,,,0,Lasso
Nov,,,,,,0,Lasso
Dec,,,,,,0,Lasso
