humidity_bin,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Low,15.85252254723659,22.053944823478716,-2.56160604664833,95.12354312354313,92.5619370768948,858,Gradient Boosting
Medium,16.972618120484917,22.84940100823277,-3.7681009105251206,98.77475971583786,95.00665880531274,2393,Gradient Boosting
High,17.476165373145417,23.522306132097093,-8.518530674439384,90.08658008658008,81.5680494121407,1155,Gradient Boosting
Very high,17.372033713973885,21.45430872994655,-7.105593915961994,58.25078369905956,51.145189783097564,319,Gradient Boosting
Low,17.691570317663185,23.501492978219947,-5.6871951251339885,95.12354312354313,89.43634799840913,858,Neural Network
Medium,19.133895435066645,24.710506516107902,-5.925114376144621,98.77475971583786,92.84964533969324,2393,Neural Network
High,19.38211966953039,24.527951649888468,-11.549669973105502,90.08658008658008,78.53691011347459,1155,Neural Network
Very high,18.508367738282626,22.629905414846668,-11.899158760899708,58.25078369905956,46.35162493815986,319,Neural Network
Low,17.030543517833046,22.84574457112705,1.300053598381319,95.12354312354313,96.42359672192445,858,Lasso
Medium,18.488861392282992,24.781765830516573,1.2489561836432004,98.77475971583786,100.02371589948106,2393,Lasso
High,17.105177135213065,23.03632346769191,-0.8868827418525383,90.08658008658008,89.19969734472755,1155,Lasso
Very high,16.856768500246936,22.353706365034526,9.127928032095998,58.25078369905956,67.37871173115556,319,Lasso
