precipitation_bin,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
No rain,16.874910793949375,23.087169236962723,-4.164430348024563,99.32776769509982,95.16333734707526,2755,Gradient Boosting
Light,16.13376138231796,21.232411632870477,-3.1964165122777026,94.14989517819707,90.95347866591936,954,Gradient Boosting
Medium,18.68205433958902,24.697357383306613,-9.533241493154042,82.25289575289575,72.71965425974172,518,Gradient Boosting
Heavy,16.835938804459918,21.86471957374012,-7.750812851618176,69.36144578313252,61.61063293151435,498,Gradient Boosting
No rain,19.517870564659596,25.419808843753124,-6.721729820999293,99.32776769509982,92.60603787410052,2755,Neural Network
Light,17.279186806470424,22.00030185383676,-8.250733704771992,94.14989517819707,85.89916147342507,954,Neural Network
Medium,18.82200875545918,23.99618225188203,-9.237776469488491,82.25289575289575,73.01511928340727,518,Neural Network
Heavy,18.57714554448077,22.544151286292855,-10.079073816751663,69.36144578313252,59.282371966380865,498,Neural Network
No rain,18.040413290972232,24.436801446833893,0.5155410962875674,99.32776769509982,99.84330879138739,2755,Lasso
Light,16.541338515623348,21.90079383382885,-0.9432998356959239,94.14989517819707,93.20659534250115,954,Lasso
Medium,18.13542102363003,24.112206174799137,1.2836989854377039,82.25289575289575,83.53659473833345,518,Lasso
Heavy,18.301037634558803,23.95840787339599,9.651192487536596,69.36144578313252,79.01263827066911,498,Lasso
