temperature_bin,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
<5,10.08082427676676,13.840417058056444,1.352381658899738,31.40340909090909,32.755790749808824,176,Gradient Boosting
5–10,14.558627235752017,18.923510167504816,-6.9572941474434185,63.10250569476082,56.1452115473174,439,Gradient Boosting
10–15,16.08648961058266,20.826448807877966,-7.033531249890172,71.50860927152318,64.47507802163301,755,Gradient Boosting
15–20,20.571555592704005,28.566159813439523,-7.611963019659984,94.736568457539,87.12460543787901,577,Gradient Boosting
20–25,16.76125412737357,22.50707957386557,-5.5291457014261445,104.98791018998273,99.4587644885566,579,Gradient Boosting
25–30,17.048783087964203,22.781843354603726,-2.5074945404344207,107.47667804323095,104.96918350279651,879,Gradient Boosting
30–35,17.73270468112234,23.59502467296307,-4.728985319396545,110.10196078431373,105.37297546491718,1020,Gradient Boosting
35+,16.616781191963998,22.057573339166527,-1.9094368411866023,103.90333333333334,101.99389649214673,300,Gradient Boosting
<5,15.872011649373384,20.31578198396904,2.655452271257704,31.40340909090909,34.058861362166795,176,Neural Network
5–10,17.229135143712988,21.801343355889077,-12.222174675546968,63.10250569476082,50.88033101921385,439,Neural Network
10–15,18.427383245390317,23.179153613961834,-12.700573909824866,71.50860927152318,58.808035361698316,755,Neural Network
15–20,19.492793948607268,25.581709520264464,-9.34823787234914,94.736568457539,85.38833058518985,577,Neural Network
20–25,18.16226092588285,23.217654419502512,-10.766544387970715,104.98791018998273,94.22136580201202,579,Neural Network
25–30,18.09002914087966,23.59423497811123,-6.275149161108203,107.47667804323095,101.20152888212274,879,Neural Network
30–35,20.667263584357787,26.388516901187867,-4.927317137533372,110.10196078431373,105.17464364678035,1020,Neural Network
35+,20.80840750509705,26.897850289907247,1.5415928249242816,103.90333333333334,105.44492615825762,300,Neural Network
<5,14.930984517805335,18.316319776979068,11.423033193665665,31.40340909090909,42.82644228457475,176,Lasso
5–10,14.09436126534022,18.965574665371175,1.346951165454737,63.10250569476082,64.44945686021556,439,Lasso
10–15,15.457562461724983,20.719312380505052,0.7486676015520588,71.50860927152318,72.25727687307524,755,Lasso
15–20,21.71096969564859,30.984736199942123,-6.447929943345663,94.736568457539,88.28863851419334,577,Lasso
20–25,17.584498086546017,23.828250012998613,-5.929417400517796,104.98791018998273,99.05849278946494,579,Lasso
25–30,17.76350386339413,23.01929606353032,1.3611366100878861,107.47667804323095,108.83781465331883,879,Lasso
30–35,18.372043188692356,24.059180525849655,4.198619756415727,110.10196078431373,114.30058054072946,1020,Lasso
35+,21.47281669558111,26.445668916839672,14.997350625918864,103.90333333333334,118.9006839592522,300,Lasso
