model,weather_variable,spearman_corr_with_abs_error,abs_corr
Gradient Boosting,tempmax,0.05755749210154592,0.05755749210154592
Gradient Boosting,humidity,0.062041903274167615,0.062041903274167615
Gradient Boosting,precip,0.02770147374995933,0.02770147374995933
Gradient Boosting,precipcover,0.014891204529649532,0.014891204529649532
Gradient Boosting,cloudcover,0.04949923778924036,0.04949923778924036
Gradient Boosting,windspeed,-0.040094583705188515,0.040094583705188515
Gradient Boosting,visibility,-0.04727505571911119,0.04727505571911119
Gradient Boosting,sealevelpressure,-0.00033807951080639444,0.00033807951080639444
Gradient Boosting,uvindex,0.0013105108924259604,0.0013105108924259604
Gradient Boosting,snow,-0.09190199873703414,0.09190199873703414
Gradient Boosting,snowdepth,-0.06577140286619623,0.06577140286619623
Neural Network,tempmax,0.04808008156324462,0.04808008156324462
Neural Network,humidity,0.03763338372793213,0.03763338372793213
Neural Network,precip,-0.007642154500205455,0.007642154500205455
Neural Network,precipcover,-0.01485260355410326,0.01485260355410326
Neural Network,cloudcover,0.0033771700867043586,0.0033771700867043586
Neural Network,windspeed,-0.054299918376644704,0.054299918376644704
Neural Network,visibility,-0.004779725993565499,0.004779725993565499
Neural Network,sealevelpressure,0.016298869518128353,0.016298869518128353
Neural Network,uvindex,-0.0071846810626852485,0.0071846810626852485
Neural Network,snow,-0.05238389538781451,0.05238389538781451
Neural Network,snowdepth,-0.009076838864570056,0.009076838864570056
Lasso,tempmax,0.10705698185486066,0.10705698185486066
Lasso,humidity,-0.018706124318338763,0.018706124318338763
Lasso,precip,-0.004569117787076876,0.004569117787076876
Lasso,precipcover,-0.021759458360398633,0.021759458360398633
Lasso,cloudcover,-0.02023099216745955,0.02023099216745955
Lasso,windspeed,0.00300903255167809,0.00300903255167809
Lasso,visibility,-0.020585151353198373,0.020585151353198373
Lasso,sealevelpressure,-0.0315491678088925,0.0315491678088925
Lasso,uvindex,0.058862481276773036,0.058862481276773036
Lasso,snow,-0.02815271502195552,0.02815271502195552
Lasso,snowdepth,-0.02460556684871376,0.02460556684871376
