wind_bin,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Low,18.532565062156266,23.382882503022323,-8.110916799785873,79.66875,71.55783320021412,320,Gradient Boosting
Moderate,16.96216913685648,22.968007558566725,-4.77743262482864,96.87902046783626,92.10158784300762,2736,Gradient Boosting
Windy,16.840148141672113,22.73352166127698,-4.50740950691982,94.11935208866156,89.61194258174173,1173,Gradient Boosting
Very windy,15.828991774353412,21.443454436204995,-4.771714649194881,79.95766129032258,75.1859466411277,496,Gradient Boosting
Low,20.638019314045433,26.03019072915035,-6.867391654181698,79.66875,72.8013583458183,320,Neural Network
Moderate,19.220886144728016,24.61412159379149,-7.984808091389531,96.87902046783626,88.89421237644673,2736,Neural Network
Windy,18.130719495573487,23.7730570470973,-6.747365348465665,94.11935208866156,87.37198674019588,1173,Neural Network
Very windy,17.736798376433793,22.71587080142228,-8.539219278251567,79.95766129032258,71.41844201207101,496,Neural Network
Low,18.82773487403175,24.699096079958647,-0.08563880871769643,79.66875,79.58311119128231,320,Lasso
Moderate,17.63798400959198,23.631608376030886,1.3896151363725262,96.87902046783626,98.2686356042088,2736,Lasso
Windy,18.072591915680338,24.46740013946167,1.6067033712574819,94.11935208866156,95.72605545991902,1173,Lasso
Very windy,17.15381182612289,23.088451763392232,0.6701854061647117,79.95766129032258,80.6278466964873,496,Lasso
